USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
Font;Font;;;;;;;;;
Cursive;Cursive;Kursive;Cursive;Cursieve;Kursiv;;Kursiv;Kursiv;Corsiva;
in Cursive;in Cursive;in Kursivschrift  ;en Cursive;Cursieve;i Kursiv Stil;;i kursiv;på Kursiv;in Cursiva;
Script;Script;Skript;Manuscrit;Script;Skrift;;Skrift;Skrift;Script;
Twirl Script;Twirl Script;Twirl Skript;Script Twirl;Twirl Script;Virvelskrift;;Snirkelskrift;Snirklet Skrift;Script Twirl;
Carrie;Carrie;Carrie;Carrie;Carrie;Carrie;;Carrie;Carrie;Carrie;
Classic;Classic;Klassisch;Classique;Klassiek;Klassisk;;Klassisk;Klassisk;Classico;
Signature;Signature;Signatur;Signature;Signatuur;Signatur;;Signatur;Signatur;Firma;
Signature Style;Signature Style;im Signaturstil ;Style Signature;in Signatuurstijl;Signaturstil;;Signaturstil;Signaturstil;in Stile Firma;
in Old English Style;in Old English Style;im altenglischen Stil;en Style Ancien Anglais;in Oud-Engelse Stijl;i Äldre Engelsk Stil ;;i Gammel Engelsk Stil;i Gammel Engelsk Stil;in Stile Old English;
Angel Style;Angel Style;Engel-Stil;Style Ange;Engel ;Ängelstil;;Engelstil;Englestil;Stile Angel;
Angel Numbers;Angel Numbers;Engelszahlen;Nombre d'Ange;Engelennummer;Änglanummer;;Engelnumre;Englenumre;Numeri Angelici;
Roman Numeral;Roman Numeral;Römische Zahlen ;Chiffres Romains;Romeinse Cijfers;Romersk Siffer ;;Romertall;Romertal;Numero Romano;
Monogram;Monogram;Monogramm;Monogramme;Monogram;Monogram;;Monogram;Monogram;Monogramma;
Monogrammed;Monogrammed;Monogramm;Monogramme;Monogram;Monogram;;Monogramm;Monogrammeret;Monogrammato;
Arabic;Arabic;Arabisch;Arabe;Arabisch;Arabiska;;Arabisk;Arabisk;Arabo;
Cut Out;Cut Out;Ausgeschnitten;Découpé;Uitgesneden;Utskuren;;Utskjæring;Udklip;Ritagliato;
