USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
Personalized;Personalised;Personalisierte;Personnalisé;Gepersonaliseerde;Personlig / Personligt / Personlige;;Personlig;Personlig;Personalizzato;räätälöity
Engraved;Engraved;Gravierte;Gravé;Gegraveerde;Graverad / Graverat / Graverade;;Gravert;Graveret;Inciso;kaiverrettu
3D Engraved;3D Engraved;3D Gravierte;Gravé en 3D;3D Gegraveerde;3D Graverad / Graverat / Graverade;;3D Gravert;3D Graveret;Inciso in 3D;3D-kaiverrettu
Engravable;Engravable;Gravierbare;Gravable;Graveerbare;Graverbar / Graverbart / Graverbare;;Graverbar;Graverbar;Incidibile;kaiverrettavissa
Custom;Custom;Personalisierbare;Personnalisé;Op Maat Gemaakte;Personlig / Personligt / Personlige;;Personaliserte;Personaliseret;Personalizzato;mukautettu
With Engraving;With Engraving;mit Gravur;avec Gravure;met Gravering;med Gravyr;;med Gravering;med Gravering;con Incisione;kaiverruksella
With Inner Engraving;With Inner Engraving;mit Innengravur;avec Gravure intérieure;met Gravering aan de Binnenkant;med Inre Gravyr;;med Indre Gravering;med Indre Gravering;con Incisione Interna;sisäpuolen kaiverruksella
With Back Engraving;With Back Engraving;mit Rückseitengravur;avec Gravure au dos;met Gravering aan de Achterkant;med Gravyr på Baksida;;med Gravering på Baksiden;med Bagsidegravering;con Incisione sul Retro;takapuolen kaiverruksella
With Monogram Engraving;With Monogram Engraving;mit Monogrammgravur;avec Gravure Monogramme;met Monogramgravering;med Monogram;;med Monogramgravering;med Monogramgravering;con Incisione Monogramma;monogrammikaiverruksella
With Name Engraving;With Name Engraving;mit Namensgravur;avec Gravure de Nom;met Naamgravering;med Namngravyr;;med Navnegravering;med Navnegravering;con Incisione del Nome;nimikaiverruksella
With Name;With Name;mit Name;avec Nom;met Naam;med Namn ;;med Navn;med Navn;con Nome;nimellä
With Names;With Names;mit Namen;avec Noms;met Namen;med Namn;;med Navn;med Navne;con Nomi;nimillä
With Kids Names;With Kids Names;mit Kindernamen;avec Noms d'Enfants;met Kindernamen;Barnnamn;;med Barnenavn;med Børnenavne;con Nomi Per Bambini;lasten nimillä
With Initial;With Initial;mit Initiale;avec Initiale;met Initiaal;med Bokstav;;med Initial;med Initial;con Iniziale;alkukirjaimella
With Initials;With Initials;mit Initialen;avec Initiales;met Initialen;med Bokstäver;;med Initialer;med Initialer;con Iniziali;alkukirjaimilla
With Initial Engraving;With Initial Engraving;mit Initialgravur;avec Gravure d'Initiale;met Initiaalgravering;med Bokstavsgravyr;;med Initialgravering;med Initialgravering;con Incisione Iniziale;alkukirjainkaiverruksella
With Letter;With Letter;mit Buchstaben;avec Lettre;met Letter;med Initial;;med Bokstav;med Bogstav;con Lettera;kirjaimella
With Letters;With Letters;mit Buchstaben;avec Lettres;met Letters;med Initialer;;med Bokstaver;med Bogstaver;con Lettere;kirjaimilla
Two Names ;Two Names ;Zwei Namen;Deux Noms ;Twee Namen ;Två Namn;;To Navn;To Navne;Due Nomi ;kaksi nimeä
Three Names ;Three Names;Drei Namen;Trois Noms ;Drie Namen ;Tre Namn;;Tre Navn;Tre Navne;Tre Nomi ;kolme nimeä
Four Names ;Four Names ;Vier Namen;Quatre Noms ;Vier Namen ;Fyra Namn;;Fire Navn;Fire Navne;Quattro Nomi ;neljä nimeä
Double Name;Double Name;Doppelname ;Nom Double;Dubbele Naam;Dubbelnamn;;Dobbelt Navn;Dobbelt Navn;Doppio Nome;tuplanimi
Triple Names;Triple Names;Triplename;Noms Triples;Drievoudige Namen;Trippelnamn;;Tredobbelt Navn;Tre Navne;Nomi Tripli;kolme nimeä
