USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
Diamond Bead;Diamond Bead;Diamant-Bead;Charm Diamant;Diamant Bedel;Diamant-Berlock;;Diamant- Berlokk;Diamant;Perline di Diamanti;
Enamel Bead;Enamel Bead;Emaille-Bead;Perle Émaillée;Emaille Kraal;Emaljpärla;;Emaljeperle;Emalje Perle;Perla di Smalto;
Enamel Beads;Enamel Beads;Emaille-Beads;Perles Émaillées;Emaille Kralen;Emaljpärlor;;Emaljeperler;Emalje Perler;Perle di Smalto;
With Symbols;With Symbols;mit Symbolen;avec Symboles;met Symbolen;med Symboler;;med Symboler;med Symboler;con Simboli;
With Baby Feet Charm;With Baby Feet Charm;mit Babyfüße-Charm;avec Charm Pieds de Bébé;met Babyvoetjes Bedel;med Barnfötter-Berlock;;med Babyfot Berlokk;med Babyfødder-Charm;con Ciondolo Piedini da Bambino;
With Heart Charm;With Heart Charm;mit Herz-Charm;avec Charm Cœur;met Hart Bedel;med Hjärtberlock;;med Hjerteberlokk;med Hjerte-Charm;con Ciondolo a Cuore;
With Heart Charms;With Heart Charms;mit Herz-Charms;avec Charms Cœur;met Hart Bedels;med Hjärtberlocker;;med Hjerteberlokker;med Hjerte-Charms;con Ciondoli a Cuore;
With Round Charms;With Round Charms;mit runden Charms;avec Charms Ronds;met ronde Bedels;med runda Berlocker;;med Runde Berlokker;med Runde Charms;con Ciondoli Rotondi;
With Diamond Charm;With Diamond Charm;mit Diamant-Charm;avec Charm Diamant;met Diamant Bedel;med Diamant-Berlock;;med Diamantberlokk;med Diamant-Charm;con Ciondoli con Diamante;
With Children Charms;With Children Charms;mit Kinder-Charms;avec Charms d'Enfants;met Kinderbedels;med Flicka / Pojke Berlocker;;med Barnberlokker;med Børne-Charms;con Ciondoli Per Bambini;
With Custom Bricks;With Custom Bricks;mit personalisierten vertikalen Beads;avec Charms Personnalisé;met Gepersonaliseerde Kralen;med personliga Brickor;;med Personlige Brikker;med personlige Brikker;con Ciondolo Personalizzato;
Heart Toggle;Heart Toggle;Herzverschluss;Bascule Coeur;Hartslotje;Hjärtformat Lås;;Hjertelås;Hjertelås;Chiusura a Cuore;
Oval Clasp;Oval Clasp;mit ovalem Verschluss;Bascule Ovale;Ovalen Slotje;Oval Lås;;Oval Lås;Oval Lås;Chiusura Ovale;
Birthstone Tag;Birthstone Tag;Geburtsstein-Tag;Plaque avec Pierre de Naissance;Geboortesteen Bedel;Månadssten-Brickor;;Fødselsstein-Brikke;Fødselssten-Brikke;Targhetta con Pietra Portafortuna;
Heart Tag;Heart Tag;Herz-Tag;Charm Cœur;Hart Bedel;Hjärtberlock;;Hjerteberlokk;Hjerte-Charm;Targhetta con Cuore;
Photo Pendant;Photo Pendant;Foto-Anhänger;Pendentif Photo;Foto Hanger;Fotohänge;;Fotoanheng;Fotovedhæng;Ciondolo con Foto;
Name Pendant;Name Pendant;Namens-Anhänger;Pendentif Prénom;Namenhanger;Namnhänge;;Navneanheng;Navnevedhæng;Ciondolo con Nome;
Heart Pendant;Heart Pendant;Herz-Anhänger;Pendentif Cœur;Hart Hanger;Hjärthänge;;Hjerteanheng;Hjertevedhæng;Ciondolo a Cuore;
Initial Pendant;Initial Pendant;Initial-Anhänger;Pendentif Initiale;Initiaal Hanger;Bokstavshänge;;Bokstavanheng;Bogstavvedhæng;Ciondolo con Iniziale;
With Engraved Bar;With Engraved Bar;mit graviertem Barren;avec Barre Gravée;met Gegraveerde Bar;med Personlig Stav;;med Gravert Stav;med Graveret Stav;con Barra Incisa;
With Personalized Bar;With Personalised Bar;mit personalisiertem Barren;avec Barre Personnalisée;met Gepersonaliseerde Bar;med Graverad Stav;;med Personlig Stav;med Personlig Stav;con Barra Personalizzata;
Birth Flower;Birth Flower;Geburtsblume;Fleur de Naissance;Geboortebloem;Födelseblomma;;Fødselsblomst;Fødselsblomst;Fiore di Nascita;
Birthstone;Birthstone;Geburtsstein;Pierre de Naissance ;Geboortesteen;Månadssten;;Fødselsstein;Fødselssten;Pietra Portafortuna;
With Birth Flower ;With Birth Flower ;mit Geburtsblume;avec Fleur de Naissance;met Geboortebloem;med Födelseblomma;;med Fødselsblomst;med Fødselsblomst;con Fiore di Nascita;
With Birthstone;With Birthstone;mit Geburtsstein;avec Pierre de Naissance ;met Geboortesteen;med Månadssten;;med Fødselsstein;med Fødselssten;con Pietra Portafortuna;
With Custom Beads;With Custom Beads;mit personalisierbaren Beads;avec Perles Personnalisées;met Op Maat Gemaakte Kralen;med Personliga Pärlor;;med Personaliserte Perler;med Personaliserete Perler;con Perline Personalizzate;
With Engraved Beads;With Engraved Beads;mit gravierten Beads;avec Perles Gravées;met Gegraveerde Kralen;med Graverade Pärlor;;med Graverte Perler;med Graverede Perler;con Perline Incise;
With Personalized Beads;With Personalised Beads;mit personalisierten Beads;avec Perles Personnalisées;met Gepersonaliseerde Kralen;med Personliga Pärlor;;med Personlige Perler;med Personlige Perler;con Perline Personalizzate;
With Engravable Beads;With Engravable Beads;mit gravierbaren Beads;avec Perles Gravables;met Graveerbare Kralen;med Graverbare Pärlor;;med Graverbare Perler;med Graverbare Perler;con Perline Incise;
With Custom Charms;With Custom Charms;mit personalisierbaren Charms;avec Charms Personnalisé;met Op Maat Gemaakte Bedels;med Personliga Berlocker;;med Personaliserte Berlokker;med Personaliserete Charms;con Ciondoli Personalizzati;
With Engraved Charms;With Engraved Charms;mit gravierten Charms;avec Charms Gravé;met Gegraveerde Bedels;med Graverade Berlocker;;med Graverte Berlokker;med Graverede Charms;con Ciondoli Incisi;
With Personalized Charms;With Personalised Charms;mit personalisierten Charms;avec Charms Personnalisé;met Gepersonaliseerde Bedels;med Personliga Berlocker;;med Personlige Berlokker;med Personlige Charms;con Ciondoli Personalizzati;
With Engravable Charms;With Engravable Charms;mit gravierbaren Charms;avec Charms Gravable;met Graveerbare Bedels;med Graverbare Berlocker;;med Graverbare Berlokker;med Graverbare Charms;con Ciondoli Incisi;
With Engraved Pendant;With Engraved Pendant;mit graviertem Anhänger;avec Pendentif Gravé;met Gegraveerde Hanger;med Graverat Hänge;;med Gravert Anheng;med Graveret Vedhæng;con Ciondolo Inciso;
With Personalized Pendant;With Personalised Pendant;mit personalisierbarem Anhänger;avec Pendentif Personnalisé;met Gepersonaliseerde Hanger;med Personligt Hänge;;med Personlig Anheng;med Personligt Vedhæng;con Ciondolo Personalizzato;
With Custom Pendant;With Custom Pendant;mit personalisiertem Anhänger;avec Pendentif Personnalisé;met Op Maat Gemaakte Hanger;med Personligt Hänge;;med Personalisert Anheng;med Personaliseret Vedhæng;con Ciondolo Personalizzato;
With Engravable Pendant;With Engravable Pendant;mit gravierbarem Anhänger;avec Pendentif Gravable;met Graveerbare Hanger;med Graverbart Hänge;;med Graverbart Anheng;med Graverbart Vedhæng;con Ciondolo da Incidere;
With Initial Charm;With Initial Charm;mit Initial-Charm;avec Charm Initiale;met Initiaal Bedel;med Bokstavsberlock;;med Bockstavberlokk;med Bogstav-Charm;con Ciondolo con Iniziale;
With Initial Charms ;With Initial Charms ;mit Initial-Charms;avec Charms Initiale;met Initiaal Bedels;med Bokstavsberlocker;;med Bockstavberlokker;med Bogstav-Charms;con Ciondoli con Iniziali;
With Initial Pendant;With Initial Pendant;mit Initial-Anhänger;avec Pendentif Initiale;met Initiaal Hanger;med Bokstavshänge;;med Bokstavanheng;med Bogstavvedhæng;con Ciondolo con Iniziale;
With Heart Charm;With Heart Charm;mit Herz-Charm;avec Charm Cœur;met Hart Bedel;med Hjärtberlock;;med Hjerteberlokk;med Hjerte-Charm;con Ciondolo a Cuore;
