USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
Bracelet;Bracelet;Armband;;Armband;Armband;;Armbånd;Armbånd;Braccialetto;
ID Bracelet;ID Bracelet;ID-Armband;;ID Armband;ID-Armband;;ID Armbånd;ID Armbånd;Bracciale identificativo;
Name Bracelet;Name Bracelet;Namensarmband;;Naamarmband;Namnarmband ;;Navnearmbånd;Navnearmbånd;Bracciale con Nome;
Nameplate Bracelet;Nameplate Bracelet;Namensarmband;;Armband met Naamplaatje;Namnplatta Armband;;Armbånd med Navneplate;Armbånd med Navneplade;Bracciale con Targhetta;
Tennis Bracelet;Tennis Bracelet;Tennisarmband;;Tennis Armband;Tennisarmband;;Tennisarmbånd;Tennisarmbånd;Bracciale Tennis;
Leather Bracelet;Leather Bracelet;Lederarmband;;Lederen Armband ;Läderarmband;;Lærarmbånd;Læderarmbånd;Braccialetto in Pelle;
Braided Leather Bracelet;Braided Leather Bracelet;geflochtenes Lederarmband;;Gevlochten Lederen Armband ;Flätat Läderarmband;;Flettet Lærarmbånd;Flettet Læderarmbånd;Bracciale in pelle intrecciata;
Vegan-Leather Bracelet;Vegan-Leather Bracelet;veganes Lederarmband;;Vegan-Leren Armband;Veganläderarmband;;Vegansk Skinnarmbånd;Vegansk Læderarmbånd;Bracciale in pelle vegana;
Wrap Bracelet;Wrap Bracelet;Wickelarmband;;Wikkelarmband;;;Wrap Armbånd;Wrap Armbånd;Bracciale avvolgente;
Double Wrap Bracelet;Double Wrap Bracelet;Doppelwickel-Armband;;Dubbele Wikkelarmband;;;Dobbelt Wrap Armbånd;Dobbelt Wrap Armbånd;Bracciale a doppio giro;
Leather Wrap Bracelet;Leather Wrap Bracelet;Wickel-Lederarmband;;Lederen Wikkelarmband;;;Wrap Lærarmbånd;Wrap Læderarmbånd;Bracciale avvolgente in pelle;
Leather Double Wrap Bracelet;Leather Double Wrap Bracelet;Doppelwickel-Lederarmband;;Lederen Dubbele Wikkelarmband;;;Dobbelt Wrap Lærarmbånd;Dobbelt Wrap Læderarmbånd;Bracciale in pelle a doppio giro;
Carabiner Bracelet;Carabiner Bracelet;Karabiner-Armband;;Karabijn Armband;;;Armbånd med Karabinkrok;Armbånd med Karabinhage;Bracciale moschettone;
Cord Bracelet;Cord Bracelet;Kordel-Armband;;Koordarmband;Snörearmband;;Snorarmbånd;Snørearmbånd;Bracciale in corda;
Layered Bracelet;Layered Bracelet;Layering Armband;;Gelaagde Armband;Lager på Lager Armband;;Lag på Lag Armbånd;Lag-på-Lag Armbånd;Bracciale a strati;
Paperclip Chain Link Bracelet;Paperclip Chain Link Bracelet;Gliederarmband;;Schakelarmband;Länkarmband;;Lenkearmbånd;Link Armbånd;Bracciale con catena a maglie con graffetta;
Link Bracelet;Link Bracelet;Gliederarmband;;Schakelarmband;Länkarmband;;Lenkearmbånd;Link Armbånd;Bracciale a maglie;
Cuban Chain Bracelet;Cuban Chain Bracelet;Kubanisches Armband;;Cubaanse Armband;Kubansk Länkarmband;;Cubansk Lenkearmbånd;Cubansk Link Armbånd;Bracciale a catena cubana;
Disc Bracelet;Disc Bracelet;Disk-Armband;;Disk Armband;;;Disc Armbånd;Diskarmbånd;Bracciale a disco;
Charm Bracelet;Charm Bracelet;Bettelarmband;;Bedelarmband;;;Charm Armbånd;Charm Armbånd;Bracciale con ciondoli;
Bead Bracelet;Bead Bracelet;Bead Armband;;Kralenarmband;;;;Armbånd;Bracciale con perline;
